bhk,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent
1,150,3 out of 6,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,9.259225769705994
2,751,3 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.546884034617925
2,970,Ground out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,9.305741456739435
1,420,3 out of 3,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.517393171418904
2,1200,1 out of 2,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner,9.210440366976517
1,600,2 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.15915233520675
3,830,3 out of 4,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.61587214452889
2,800,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
3,2500,2 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,10.463131911491967
1,200,1 out of 4,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Owner,8.612685172875459
2,400,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.699681400989514
1,500,5 out of 5,Built Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,8.699681400989514
1,550,6 out of 10,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,10.545367754151743
2,1100,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,9.61587214452889
2,800,1 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Agent,10.404293143019792
2,700,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.699681400989514
2,1800,Ground out of 2,Super Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,10.308985993422082
4,2400,4 out of 4,Super Area,Delhi,Unfurnished,Bachelors,3,Contact Agent,10.596659732783579
2,800,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,1000,Ground out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
3,1600,20 out of 25,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.463131911491967
2,1020,3 out of 17,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.165890277802454
3,2200,2 out of 4,Super Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,10.463131911491967
3,160,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.308985993422082
3,2200,Ground out of 2,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,9.952325334619427
3,900,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.34177474101152
3,1800,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.373522431293592
3,1800,Ground out of 3,Super Area,Delhi,Unfurnished,Family,3,Contact Agent,10.275085591132715
1,400,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Builder,8.612685172875459
3,2792,5 out of 9,Super Area,Chennai,Furnished,Bachelors/Family,5,Contact Owner,11.775297421715827
3,2000,1 out of 3,Super Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,10.12667110305036
1,355,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,8.575650760987806
3,950,3 out of 5,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,9.392745258631441
1,550,Ground out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,700,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,1100,1 out of 7,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,10.12667110305036
2,400,3,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,9.90353755128617
2,1260,Ground out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,9.472781556562168
2,1300,2 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
2,900,2 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.90353755128617
2,1030,3 out of 6,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,9.210440366976517
2,850,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,9.581972891547895
2,1200,3 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.61587214452889
3,2170,4 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,11.002116507732017
1,550,2 out of 3,Carpet Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,9.210440366976517
2,590,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,9.433563920090563
2,750,6 out of 15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.915106645867503
2,1100,3 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.259225769705994
2,500,1 out of 2,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
1,600,1 out of 1,Super Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,8.853808274977197
4,4550,3 out of 5,Super Area,Bangalore,Semi-Furnished,Family,5,Contact Agent,11.918397239722838
2,980,3 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
3,1651,2 out of 3,Super Area,Chennai,Semi-Furnished,Family,3,Contact Owner,9.90353755128617
2,700,Ground out of 2,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
2,850,3 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.04793908261736
2,1100,Ground out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.798182590890704
2,780,1 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,9.61587214452889
3,1800,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.203629181337648
2,700,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,8.740496729931813
2,950,1 out of 4,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.433563920090563
3,1800,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.275085591132715
3,2000,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.275085591132715
1,500,4 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,9.105090961257085
2,1197,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.210440366976517
2,700,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.987321812850125
4,3000,4 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,5,Contact Agent,12.468440756144114
2,900,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,750,Ground out of 3,Super Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,9.392745258631441
1,350,Ground out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
2,1325,6 out of 8,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,10.915106645867503
2,800,Ground out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.210440366976517
2,1021,4 out of 5,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.546884034617925
3,1800,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.308985993422082
4,300,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.463131911491967
2,100,2 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.546884034617925
2,700,2 out of 3,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,9.259225769705994
2,1113,2 out of 4,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,9.798182590890704
1,340,13 out of 23,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,10.12667110305036
2,1500,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.90353755128617
1,360,Lower Basement out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.987321812850125
2,950,3 out of 3,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,10.043292972227004
2,900,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.15915233520675
2,1400,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner,9.680406499268875
2,780,2 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
2,600,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,8.517393171418904
2,700,1 out of 3,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.305741456739435
2,750,6 out of 16,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,11.289794413577894
1,350,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.517393171418904
6,2800,Ground out of 3,Super Area,Hyderabad,Furnished,Bachelors/Family,7,Contact Owner,11.002116507732017
2,900,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,10.12667110305036
3,2000,2 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.463131911491967
2,900,2 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,8.922791623969637
2,1200,2 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,8.699681400989514
4,1600,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,10.308985993422082
1,400,3 out of 4,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Owner,9.15915233520675
2,800,Ground out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8.77971129020447
1,320,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.699681400989514
2,880,1 out of 3,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,9.392745258631441
3,1710,15 out of 29,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,9.90353755128617
1,300,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
1,300,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,8.748463629942055
1,550,Ground out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,1200,1 out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.699681400989514
2,1000,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
1,90,Ground out of 2,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,8.294299608857235
2,925,2 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
1,800,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.105090961257085
1,450,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.612685172875459
2,600,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
3,1000,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.99884318585288
2,1000,4 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,9.392745258631441
1,200,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,8.699681400989514
2,500,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.132486932771318
2,550,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,9.392745258631441
2,900,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.392745258631441
1,250,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,8.517393171418904
2,1200,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,9.546884034617925
2,1020,3 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,8.987321812850125
3,1750,1 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent,10.491301994830229
2,1500,1 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.90353755128617
3,1000,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,9.90353755128617
